书名,评分,作者,出版社,出版日期,价格,链接
枪炮、病菌与钢铁,8.8,[美] 贾雷德·戴蒙德,上海世纪出版集团,2006-4-1,45.0,https://book.douban.com/subject/1813841/
失踪的孩子,9.1,[意] 埃莱娜·费兰特,人民文学出版社,2018-6-1,62.0,https://book.douban.com/subject/30172069/
子不语1,9.0,夏达,新世纪出版社,2009-12,36.0,https://book.douban.com/subject/4188697/
白银时代,8.4,王小波,花城出版社,1997-5,10.0,https://book.douban.com/subject/1082150/
红拂夜奔,8.7,王小波,江苏文艺出版社,2005-1,28.0,https://book.douban.com/subject/1418686/
非暴力沟通,8.4,[美] 马歇尔·卢森堡,华夏出版社,2009-1,29.0,https://book.douban.com/subject/3533221/
爱的艺术,8.8,[美] 艾·弗洛姆,上海译文出版社,2008-4,15.0,https://book.douban.com/subject/3026879/
动物凶猛,8.3,王朔,中国电影出版社,2004年02月,15.5,https://book.douban.com/subject/1143694/
舞！舞！舞！,8.3,[日] 村上春树,上海译文出版社,2002-6,25.0,https://book.douban.com/subject/1020670/
告白,8.6,湊佳苗,時報文化,2009-8,250.0,https://book.douban.com/subject/3920130/
偷书贼,8.0,[澳] 马克斯·苏萨克,南海出版公司,2007-8,25.0,https://book.douban.com/subject/2180619/
浪潮之巅,9.0,吴军,电子工业出版社,2011-8,55.0,https://book.douban.com/subject/6709783/
佛祖在一号线,8.2,李海鹏,文化艺术出版社,2010-6,25.0,https://book.douban.com/subject/4872671/
小姨多鹤,8.6,严歌苓,作家出版社,2008-4,28.0,https://book.douban.com/subject/3012517/
罗杰疑案,8.9,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,21.0,https://book.douban.com/subject/1807516/
夹边沟记事,9.2,杨显惠,花城出版社,2008-09,34.0,https://book.douban.com/subject/3239549/
邓小平时代,9.1,[美] 傅高义,生活·读书·新知三联书店,2013-1,88.0,https://book.douban.com/subject/20424526/
高效能人士的七个习惯（精华版）,8.2,[美] 史蒂芬·柯维,中国青年出版社,2011-6,29.0,https://book.douban.com/subject/1048007/
默读,8.4,Priest,百花洲文艺出版社,2018-1,45.0,https://book.douban.com/subject/27608412/
观念的水位,8.3,刘瑜,浙江大学出版社,2013-1,36.0,https://book.douban.com/subject/20463108/
离开的，留下的,8.7,[意] 埃莱娜·费兰特,人民文学出版社,2017-10,62.0,https://book.douban.com/subject/27104959/
云中歌1,8.0,桐华,作家出版社,2007-9,24.8,https://book.douban.com/subject/2283084/
巨流河,8.7,齐邦媛,生活·读书·新知三联书店,2010-10,39.0,https://book.douban.com/subject/4842446/
